Technology,TechDetail,Metric,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,atb_year,Description,ResourceDetail,ResourceDetail2,Source,Notes,TechDetail2
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Electrical BOS,69.16,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Installation Labor & Equipment,66.15,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC Overhead,48.27,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Sale Tax,24.16,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total EPC Cost,576.6299999999999,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Land acquisition,0,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Permitting fee,7.22,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Interconnection fee,6.41,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Contingency,15.07,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Developer overhead,34.88,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC/developer net profit,31.57,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total Developer cost,95.14,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total energy storage system cost,671.7699999999999,$/kWh,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Battery Pack,3533,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Inverter,2294,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,BOS,1567,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Supply Chain Costs,478,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Sales Tax,392,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Install Labor & Equipments,1081,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Engineering Fee,95,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,PII,1633,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Sales & Marketing,3851,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Overhead & Profit,3866,$,2021,Base,2022,2023,,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,Cost,Capital Cost,Total,18791,$,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,1080.88,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Battery Central Inverter,97.52,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Structural BOS,11.08,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Electrical BOS,179.36,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Installation Labor & Equipment,48.72,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC Overhead,46.92,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Sale Tax,74.84,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total EPC Cost,1539.3200000000002,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Land acquisition,0,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Permitting fee,3.08,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Interconnection fee,22.76,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Contingency,43.8,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Developer overhead,92.36,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC/developer net profit,83.76,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total Developer cost,245.8,$/kW,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total energy storage system cost,1785.1200000000001,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,1309.16,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Battery Central Inverter,97.52,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Structural BOS,68.88,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Electrical BOS,276.64,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Installation Labor & Equipment,264.6,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC Overhead,193.08,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Sale Tax,96.64,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total EPC Cost,2306.5199999999995,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Land acquisition,0,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Permitting fee,28.88,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Interconnection fee,25.64,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Contingency,60.28,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Developer overhead,139.52,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,EPC/developer net profit,126.28,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total Developer cost,380.56,$/kW,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Total energy storage system cost,2687.0799999999995,$/kW,2021,Base,2022,2023,,,,,,
CSP,,Cost,OCC,Power Block,2036,$/kWe,2021 $,Base,2021,2023,Power Block/Turbine cost based on movement of 1yr,,,,,
CSP,,Cost,OCC,Power Block,2036,$/kWe,2021 $,Conservative,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
CSP,,Cost,OCC,Power Block,1425,$/kWe,2021 $,Moderate,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
CSP,,Cost,OCC,Power Block,1140,$/kWe,2021 $,Advanced,2030,2023,Potential Power Block/Turbine cost in 2030,,,,,
CSP,,Cost,OCC,Thermal Storage,817,$/kWe,2021 $,Base,2021,2023,Storage cost based on movement of 1yr,,,,,
CSP,,Cost,OCC,Thermal Storage,817,$/kWe,2021 $,Conservative,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
CSP,,Cost,OCC,Thermal Storage,572,$/kWe,2021 $,Moderate,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
CSP,,Cost,OCC,Thermal Storage,458,$/kWe,2021 $,Advanced,2030,2023,Storage cost based in 2030 (10hrs of TES plant),,,,,
CSP,,Cost,OCC,Solar Field,3969,$/kWe,2021 $,Base,2021,2023,Solar Field cost based on movement of 1yr,,,,,
CSP,,Cost,OCC,Solar Field,3969,$/kWe,2021 $,Conservative,2030,2023,Potential Solar Field cost in 2030,,,,,
CSP,,Cost,OCC,Solar Field,2778,$/kWe,2021 $,Moderate,2030,2023,Potential Solar Field cost in 2030,,,,,
CSP,,Cost,OCC,Solar Field,2222,$/kWe,2021 $,Advanced,2030,2023,Potential Solar Field cost in 2030,,,,,
CSP,,Technology,Annual Energy Production,,5834,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 2,,,,,
CSP,,Technology,Annual Energy Production,,5668,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 3,,,,,
CSP,,Technology,Annual Energy Production,,4503,kWhe/kWe,,,2021,2023,Annual Energy Production ratio at CSP Class 7,,,,,
CSP,,Cost,Capex,,7154,$/kWe,2021 $,Base,2021,2023,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant",,,,,
CSP,,Cost,Capex,,7154,$/kWe,2021 $,Conservative,2030,2023,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant for 2030",,,,,
CSP,,Cost,Capex,,5007,$/kWe,2021 $,Moderate,2030,2023,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Moderate case e.g. global improvements in the technology, learning and improved supply chains",,,,,
CSP,,Cost,Capex,,4006,$/kWe,2021 $,Advanced,2030,2023,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Advanced case e.g. development of new technology, signifcant learning, and expansion",,,,,
CSP,,Cost,OCC,Total,6822,$/kWe,2021 $,Base,2021,2023,Overnight Cost of Capital (OCC) in 2018,,,,,
CSP,,Cost,OCC,Total,6822,$/kWe,2021 $,Conservative,2030,2023,Potential OCC in Conservative Case in 2030,,,,,
CSP,,Cost,OCC,Total,4775,$/kWe,2021 $,Moderate,2030,2023,Potential OCC in Moderate Case in 2030,,,,,
CSP,,Cost,OCC,Total,3820,$/kWe,2021 $,Advanced,2030,2023,Potential OCC in Advanced Case in 2030,,,,,
CSP,,Cost,Opex (fixed),,69.1,$/kWe-yr,2021 $,Base,2021,2023,Fixed O&M (FOM),,,,,
CSP,,Cost,Opex (fixed),,69.1,$/kWe-yr,2021 $,Conservative,2030,2023,Potential FOM in 2030,,,,,
CSP,,Cost,Opex (fixed),,51.8,$/kWe-yr,2021 $,Moderate,2030,2023,Potential FOM in 2030,,,,,
CSP,,Cost,Opex (fixed),,45,$/kWe-yr,2021 $,Advanced,2030,2023,Potential FOM in 2030,,,,,
CSP,,Cost,Opex (variable),,3.7,$/MWhe,2021 $,Base,2021,2023,Variable O&M (VOM),,,,,
CSP,,Cost,Opex (variable),,3.7,$/MWhe,2021 $,Conservative,2030,2023,Potential VOM in 2030. Not expected Basely to change,,,,,
CSP,,Cost,Opex (variable),,3,$/MWhe,2021 $,Moderate,2030,2023,Potential VOM in 2030. Not expected Basely to change,,,,,
CSP,,Cost,Opex (variable),,2.9,$/MWhe,2021 $,Advanced,2030,2023,Potential VOM in 2030. Not expected Basely to change,,,,,
CSP,,Technology,Net Capacity Factor,,66.6,%,,,2021,2023,Net Capacity Factor at CSP Class 2,,,,,
CSP,,Technology,Net Capacity Factor,,64.7,%,,,2021,2023,Net Capacity Factor at CSP Class 3,,,,,
CSP,,Technology,Net Capacity Factor,,51.4,%,,,2021,2023,Net Capacity Factor at CSP Class 7,,,,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,23,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4631,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,153,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,23,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4576,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,152,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,23,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4288,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,153,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Blue Mountain,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,57,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4105,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,134,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,57,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3824,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,129,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,57,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3539,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,129,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fish Lake Valley,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,34,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4322,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,142,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,34,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,4151,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,140,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,34,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3867,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,140,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Heber Deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,90,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3960,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,134,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,90,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3912,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,133,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Net Capacity,,90,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Overnight Capital Cost,,3648,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,O&M Costs,,134,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Humboldt House - Rye Patch,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Long Valley caldera - deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Long Valley caldera - deep,ReEDS,,
Geothermal,HydroFlash,Full Supply Curve,Estimated Temperature,,205,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Long Valley caldera - deep,ReEDS,,
